Monster,Level,Attack,Defense
Blue Eyes White Dragon,8,3000,2500
Hitotsu-Me Giant,4,1200,1000
La Jinn the Mystical Genie of the Lamp,4,1800,1000
Battle Ox,4,1700,1000
Judge Man,6,2200,1500
Kojikocy,4,1500,1200
Ogre of the Black Shadow,4,1200,1400
Rogue Doll,4,1600,1000
Uraby,4,1500,800
Koumori Dragon,4,1500,1200
Gyakutenno Megami,6,1800,2000
Mystic Horseman,4,1300,1550
Terra the Terrible,4,1200,1300
Dark Titan of Terror,4,1300,1100
Dark Assailant,4,1200,1200
Ryu Kishin Powered,4,1600,1200
Mystic Clown,4,1500,1000
Swordstalker,6,2000,1600
Unknown Warrior of Fiend,3,1000,500
Destroyer Golem,4,1500,1000
Master and Expert,4,1200,1000
Ryu Kishin,3,1000,500
Pale Beast,4,1500,1200
D Human,4,1300,1100
Skull Red Bird,4,1550,1200
